release_month,Genre,movie_count,total_revenue,avg_revenue
12,Adventure,1,956000000.0,956000000.0
11,Fantasy,1,829700000.0,829700000.0
11,Sci-Fi,2,1408800000.0,704400000.0
10,Sci-Fi,1,675100000.0,675100000.0
5,Family,1,621500000.0,621500000.0
12,Thriller,1,533000000.0,533000000.0
7,Adventure,5,2422600000.0,484520000.0
7,Sci-Fi,1,463400000.0,463400000.0
12,Musical,1,441800000.0,441800000.0
9,Sci-Fi,3,1290800000.0,430266666.67
3,Family,2,848900000.0,424450000.0
6,Action,11,4628800000.0,420800000.0
5,Action,10,4192000000.0,419200000.0
3,Animation,1,386000000.0,386000000.0
3,Adventure,3,1129000000.0,376333333.33
11,Family,1,373000000.0,373000000.0
2,Family,2,744900000.0,372450000.0
7,Action,11,3933700000.0,357609090.91
6,Thriller,1,320900000.0,320900000.0
9,Fantasy,3,959800000.0,319933333.33
11,Adventure,1,306900000.0,306900000.0
3,Action,13,3976540000.0,305887692.31
6,Sci-Fi,3,889300000.0,296433333.33
11,Drama,8,2170200000.0,271275000.0
2,Adventure,3,804300000.0,268100000.0
11,Animation,1,246200000.0,246200000.0
12,Action,5,1203100000.0,240620000.0
6,Comedy,9,2132800000.0,236977777.78
2,Sci-Fi,3,686600000.0,228866666.67
5,Comedy,11,2332500000.0,212045454.55
2,Action,13,2574900000.0,198069230.77
8,Animation,1,196400000.0,196400000.0
10,Action,5,964500000.0,192900000.0
9,Mystery,2,384400000.0,192200000.0
3,Sci-Fi,4,751600000.0,187900000.0
3,Fantasy,1,183000000.0,183000000.0
8,Sci-Fi,2,353100000.0,176550000.0
12,Comedy,8,1339500000.0,167437500.0
5,Sci-Fi,2,333100000.0,166550000.0
9,Family,2,332100000.0,166050000.0
4,Fantasy,1,164600000.0,164600000.0
6,Horror,4,642100000.0,160525000.0
10,Drama,5,759800000.0,151960000.0
8,Action,17,2490100000.0,146476470.59
5,Crime,3,439000000.0,146333333.33
10,Thriller,1,142800000.0,142800000.0
7,Thriller,3,424600000.0,141533333.33
5,Adventure,2,271200000.0,135600000.0
8,Adventure,3,405300000.0,135100000.0
1,Action,16,2148100000.0,134256250.0
9,Horror,4,519200000.0,129800000.0
1,Thriller,2,259000000.0,129500000.0
7,Comedy,11,1395200000.0,126836363.64
9,Action,10,1251800000.0,125180000.0
1,Family,1,120900000.0,120900000.0
8,Romance,1,114300000.0,114300000.0
12,Fantasy,1,114200000.0,114200000.0
11,Comedy,3,329900000.0,109966666.67
4,Action,6,616800000.0,102800000.0
10,Family,1,99800000.0,99800000.0
4,Comedy,12,1150400000.0,95866666.67
9,Thriller,3,285400000.0,95133333.33
12,Biography,3,256500000.0,85500000.0
7,Romance,1,85500000.0,85500000.0
7,Crime,1,83000000.0,83000000.0
5,Drama,10,822840000.0,82284000.0
4,Horror,2,164000000.0,82000000.0
3,Comedy,13,1037400000.0,79800000.0
8,Biography,3,239200000.0,79733333.33
7,Horror,5,397000000.0,79400000.0
12,Drama,8,626500000.0,78312500.0
8,Drama,11,856600000.0,77872727.27
10,Horror,5,386400000.0,77280000.0
1,Adventure,2,142000000.0,71000000.0
6,Drama,6,411400000.0,68566666.67
8,Documentary,1,68500000.0,68500000.0
1,Horror,7,474500000.0,67785714.29
8,Fantasy,2,134700000.0,67350000.0
3,Thriller,2,132500000.0,66250000.0
4,Romance,1,65700000.0,65700000.0
4,Biography,2,129200000.0,64600000.0
2,Horror,3,193300000.0,64433333.33
3,Religious,1,62600000.0,62600000.0
2,Comedy,10,621600000.0,62160000.0
9,Comedy,7,435100000.0,62157142.86
2,Fantasy,1,60100000.0,60100000.0
6,Musical,1,59400000.0,59400000.0
1,Comedy,4,233900000.0,58475000.0
4,Sci-Fi,2,115800000.0,57900000.0
9,Crime,6,346400000.0,57733333.33
9,Biography,4,224700000.0,56175000.0
12,Horror,2,110400000.0,55200000.0
8,Family,2,110400000.0,55200000.0
2,Drama,7,376400000.0,53771428.57
1,Romance,3,151300000.0,50433333.33
2,Romance,2,100070000.0,50035000.0
3,Romance,2,99300000.0,49650000.0
8,Comedy,5,247300000.0,49460000.0
10,Comedy,5,239900000.0,47980000.0
6,Adventure,1,44000000.0,44000000.0
1,Crime,2,85400000.0,42700000.0
4,Religious,3,127600000.0,42533333.33
4,Drama,6,253600000.0,42266666.67
11,Romance,1,41100000.0,41100000.0
8,Crime,2,82100000.0,41050000.0
8,Horror,4,163200000.0,40800000.0
2,Crime,3,112000000.0,37333333.33
1,Sci-Fi,5,184820000.0,36964000.0
7,Drama,4,146200000.0,36550000.0
1,Drama,6,217700000.0,36283333.33
5,Horror,4,144500000.0,36125000.0
3,Mystery,2,72100000.0,36050000.0
3,Crime,2,71300000.0,35650000.0
3,Drama,4,140300000.0,35075000.0
11,Crime,2,70100000.0,35050000.0
8,Thriller,2,63100000.0,31550000.0
9,Drama,14,426600000.0,30471428.57
8,Religious,1,30100000.0,30100000.0
4,Thriller,1,29700000.0,29700000.0
10,Religious,1,27600000.0,27600000.0
5,Mystery,1,27400000.0,27400000.0
11,Action,3,80400000.0,26800000.0
5,Romance,1,26300000.0,26300000.0
6,Biography,1,22000000.0,22000000.0
11,Horror,2,43100000.0,21550000.0
10,Crime,2,37100000.0,18550000.0
9,Musical,1,16500000.0,16500000.0
3,Horror,1,15100000.0,15100000.0
9,Romance,1,14600000.0,14600000.0
5,Religious,1,10500000.0,10500000.0
10,Biography,1,8300000.0,8300000.0
10,Musical,1,2300000.0,2300000.0
11,Biography,1,2200000.0,2200000.0